Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TR1,TR2,TR3,TRmax,N1,N2,MavgB1,MavgS1,MavgB2,MavgS2,Trade,Unit,Date,LastPrice,CurrentPrice,EntryPrice,ExitPrice,StopPrice,StopInd,N,Direction,StartPos,PNL,TxCost,EndPos,Return,RisktoEq%,PrevTradeLoser,PostCrisis
2016-01-04,6.6,6.76,6.3,6.55,42971763.0,0.0,1.0,6.6,6.76,6.3,6.55,42971763.0,0.45999999999999996,0.0,0.0,0.45999999999999996,,0.0,0.0,0.0,0.0,0.0,,,2016-01-04,,,,,,,,,,,,,,,,
2016-01-05,6.62,6.73,6.51,6.71,37681800.0,0.0,1.0,6.62,6.73,6.51,6.71,37681800.0,0.22000000000000064,0.1800000000000006,0.040000000000000036,0.22000000000000064,,0.0,0.0,0.0,0.0,0.0,,,2016-01-05,,,,,,,,,,,,,,,,
2016-01-06,6.37,6.47,6.13,6.17,45246322.0,0.0,1.0,6.37,6.47,6.13,6.17,45246322.0,0.33999999999999986,0.2400000000000002,0.5800000000000001,0.5800000000000001,,0.0,0.0,0.0,0.0,0.0,,,2016-01-06,,,,,,,,,,,,,,,,
2016-01-07,5.98,6.04,5.43,5.61,66575869.0,0.0,1.0,5.98,6.04,5.43,5.61,66575869.0,0.6100000000000003,0.1299999999999999,0.7400000000000002,0.7400000000000002,,0.0,0.0,0.0,0.0,0.0,,,2016-01-07,,,,,,,,,,,,,,,,
2016-01-08,5.67,5.71,5.36,5.41,42195491.0,0.0,1.0,5.67,5.71,5.36,5.41,42195491.0,0.34999999999999964,0.09999999999999964,0.25,0.34999999999999964,,0.0,0.0,0.0,0.0,0.0,,,2016-01-08,,,,,,,,,,,,,,,,
2016-01-11,5.4,5.42,4.23,4.31,117382953.0,0.0,1.0,5.4,5.42,4.23,4.31,117382953.0,1.1899999999999995,0.009999999999999787,1.1799999999999997,1.1899999999999995,,0.0,0.0,0.0,0.0,0.0,,,2016-01-11,,,,,,,,,,,,,,,,
2016-01-12,4.47,4.58,3.65,4.11,141281789.0,0.0,1.0,4.47,4.58,3.65,4.11,141281789.0,0.9300000000000002,0.27000000000000046,0.6599999999999997,0.9300000000000002,,0.0,0.0,0.0,0.0,0.0,,,2016-01-12,,,,,,,,,,,,,,,,
2016-01-13,4.18,4.28,3.7,3.74,64407316.0,0.0,1.0,4.18,4.28,3.7,3.74,64407316.0,0.5800000000000001,0.16999999999999993,0.41000000000000014,0.5800000000000001,,0.0,0.0,0.0,0.0,0.0,,,2016-01-13,,,,,,,,,,,,,,,,
2016-01-14,3.81,4.23,3.78,4.2,77641373.0,0.0,1.0,3.81,4.23,3.78,4.2,77641373.0,0.4500000000000006,0.4900000000000002,0.03999999999999959,0.4900000000000002,,0.0,0.0,0.0,0.0,0.0,,,2016-01-14,,,,,,,,,,,,,,,,
2016-01-15,3.8,4.35,3.77,4.35,72977604.0,0.0,1.0,3.8,4.35,3.77,4.35,72977604.0,0.5799999999999996,0.14999999999999947,0.43000000000000016,0.5799999999999996,,0.0,0.0,0.0,0.0,0.0,,,2016-01-15,,,,,,,,,,,,,,,,
2016-01-19,4.58,4.58,3.92,3.96,59735949.0,0.0,1.0,4.58,4.58,3.92,3.96,59735949.0,0.6600000000000001,0.23000000000000043,0.4299999999999997,0.6600000000000001,,0.0,0.0,0.0,0.0,0.0,,,2016-01-19,,,,,,,,,,,,,,,,
2016-01-20,3.77,4.13,3.52,4.07,88337247.0,0.0,1.0,3.77,4.13,3.52,4.07,88337247.0,0.6099999999999999,0.16999999999999993,0.43999999999999995,0.6099999999999999,,0.0,0.0,0.0,0.0,0.0,,,2016-01-20,,,,,,,,,,,,,,,,
2016-01-21,4.14,4.43,3.97,4.33,61066599.0,0.0,1.0,4.14,4.43,3.97,4.33,61066599.0,0.4599999999999995,0.35999999999999943,0.10000000000000009,0.4599999999999995,,0.0,0.0,0.0,0.0,0.0,,,2016-01-21,,,,,,,,,,,,,,,,
2016-01-22,4.59,4.66,3.8,3.94,107814117.0,0.0,1.0,4.59,4.66,3.8,3.94,107814117.0,0.8600000000000003,0.33000000000000007,0.5300000000000002,0.8600000000000003,,0.0,0.0,0.0,0.0,0.0,,,2016-01-22,,,,,,,,,,,,,,,,
2016-01-25,3.87,4.0,3.81,3.94,51086277.0,0.0,1.0,3.87,4.0,3.81,3.94,51086277.0,0.18999999999999995,0.06000000000000005,0.1299999999999999,0.18999999999999995,,0.0,0.0,0.0,0.0,0.0,,,2016-01-25,,,,,,,,,,,,,,,,
2016-01-26,4.4,4.42,3.83,4.2,91940751.0,0.0,1.0,4.4,4.42,3.83,4.2,91940751.0,0.5899999999999999,0.48,0.10999999999999988,0.5899999999999999,,0.0,0.0,0.0,0.0,0.0,,,2016-01-26,,,,,,,,,,,,,,,,
2016-01-27,4.06,5.08,4.02,4.65,95563540.0,0.0,1.0,4.06,5.08,4.02,4.65,95563540.0,1.0600000000000005,0.8799999999999999,0.1800000000000006,1.0600000000000005,,0.0,0.0,1.0,0.0,0.0,,,2016-01-27,,,,,,,,,,,,,,,,
2016-01-28,4.8,4.88,4.21,4.42,66789429.0,0.0,1.0,4.8,4.88,4.21,4.42,66789429.0,0.6699999999999999,0.22999999999999954,0.4400000000000004,0.6699999999999999,,0.0,0.0,0.0,0.0,0.0,,,2016-01-28,,,,,,,,,,,,,,,,
2016-01-29,4.44,4.75,4.37,4.6,41823137.0,0.0,1.0,4.44,4.75,4.37,4.6,41823137.0,0.3799999999999999,0.33000000000000007,0.04999999999999982,0.3799999999999999,,0.0,0.0,0.0,0.0,0.0,,,2016-01-29,,,,,,,,,,,,,,,,
2016-02-01,4.5,4.815,4.33,4.74,48283708.0,0.0,1.0,4.5,4.815,4.33,4.74,48283708.0,0.4850000000000003,0.21500000000000075,0.2699999999999996,0.4850000000000003,0.6042500000000001,0.0,0.0,1.0,0.0,0.0,,,2016-02-01,,,,,,,,,,,,,,,,
2016-02-02,4.6,4.65,4.26,4.35,31559628.0,0.0,1.0,4.6,4.65,4.26,4.35,31559628.0,0.39000000000000057,0.08999999999999986,0.4800000000000004,0.4800000000000004,0.6052500000000001,0.0,0.0,0.0,0.0,0.0,,,2016-02-02,,,,,,,,,,,,,,,,
2016-02-03,4.43,4.85,4.35,4.85,44213046.0,0.0,1.0,4.43,4.85,4.35,4.85,44213046.0,0.5,0.5,0.0,0.5,0.61925,0.5999875,0.0,1.0,0.0,0.0,,,2016-02-03,,,,,,,,,,,,,,,,
2016-02-04,5.1,6.03,5.09,5.72,116173763.0,0.0,1.0,5.1,6.03,5.09,5.72,116173763.0,0.9400000000000004,1.1800000000000006,0.2400000000000002,1.1800000000000006,0.6492500000000001,0.6472875,1.0,1.0,0.0,1.0,,,2016-02-04,,,,,,,,,,,,,,,,
2016-02-05,5.57,5.98,5.45,5.68,71686293.0,0.0,1.0,5.57,5.98,5.45,5.68,71686293.0,0.5300000000000002,0.2600000000000007,0.2699999999999996,0.5300000000000002,0.63875,0.6432875000000001,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-05,5.72,5.68,5.72,5.68,5.0727125,1.0,0.6472875,1.0,154.4908560724562,-1.0803556368703209,1.544908560724562,151.86559187486134,-0.006993006993006978,0.0001544669923345755,1.0,1.0
2016-02-08,5.46,5.93,5.17,5.27,64853358.0,0.0,1.0,5.46,5.93,5.17,5.27,64853358.0,0.7599999999999998,0.25,0.5099999999999998,0.7599999999999998,0.65925,0.6448125,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-08,5.68,5.27,5.68,5.27,5.036712499999999,1.0,0.6432875000000001,1.0,151.86559187486134,-10.962128990967114,0.0,140.90346288389424,-0.07218309859154937,0.00015184253221883415,1.0,1.0
2016-02-09,5.12,5.403,4.97,5.0,43151551.0,0.0,1.0,5.12,5.403,4.97,5.0,43151551.0,0.43299999999999983,0.133,0.2999999999999998,0.43299999999999983,0.6214000000000001,0.6479375,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-09,5.27,5.0,5.27,5.0,4.625187499999999,1.0,0.6448125,1.0,140.90346288389424,-7.2189629940514966,0.0,133.68449988984273,-0.05123339658444015,0.00014088361189511461,1.0,1.0
2016-02-10,4.95,5.13,4.78,4.98,33743874.0,0.0,1.0,4.95,5.13,4.78,4.98,33743874.0,0.34999999999999964,0.1299999999999999,0.21999999999999975,0.34999999999999964,0.5924,0.6078300000000001,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-10,5.0,4.98,5.0,4.98,4.3520625,1.0,0.6479375,1.0,133.68449988984273,-0.5347379995593565,0.0,133.14976189028337,-0.0039999999999998925,0.0001336666307331612,1.0,1.0
2016-02-11,4.81,5.08,4.65,4.89,37980156.0,0.0,1.0,4.81,5.08,4.65,4.89,37980156.0,0.4299999999999997,0.09999999999999964,0.33000000000000007,0.4299999999999997,0.5849,0.58428,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-11,4.98,4.89,4.98,4.89,4.372170000000001,1.0,0.6078300000000001,1.0,133.14976189028337,-2.4063209980171845,0.0,130.7434408922662,-0.01807228915662662,0.00013313203539147103,1.0,1.0
2016-02-12,5.12,5.745,5.08,5.53,44408448.0,0.0,1.0,5.12,5.745,5.08,5.53,44408448.0,0.665,0.8550000000000004,0.1900000000000004,0.8550000000000004,0.6031500000000001,0.598405,0.0,0.0,0.0,0.0,0.0,1.0,2016-02-12,4.89,5.53,4.89,5.53,4.30572,1.0,0.58428,1.0,130.7434408922662,17.111615985899896,0.0,147.8550568781661,0.1308793456032722,0.0001307263492795461,1.0,1.0
2016-02-16,5.82,6.375,5.8,6.37,74148369.0,0.0,1.0,5.82,6.375,5.8,6.37,74148369.0,0.5750000000000002,0.8449999999999998,0.2699999999999996,0.8449999999999998,0.6164000000000001,0.6152425000000001,1.0,1.0,0.0,1.0,0.0,1.0,2016-02-16,5.53,6.37,5.53,6.37,4.931595000000001,1.0,0.598405,1.0,147.8550568781661,22.458995981493572,0.0,170.31405285965968,0.1518987341772151,0.00014783319899212063,1.0,1.0
2016-02-17,6.63,7.6,6.6,7.16,103520297.0,0.0,1.0,6.63,7.6,6.6,7.16,103520297.0,1.0,1.2299999999999995,0.22999999999999954,1.2299999999999995,0.6449,0.6470800000000001,1.0,1.0,0.0,1.0,0.0,3.0,2016-02-17,6.37,7.16,6.3672875,7.16,5.7547575,1.0,0.6152425000000001,1.0,479.2957650045721,59.67120914772372,1.544908560724562,537.4220655915713,0.12449767660090738,0.00047906615062741933,1.0,1.0
2016-02-18,7.4,7.42,6.65,7.15,59703694.0,0.0,1.0,7.4,7.42,6.65,7.15,59703694.0,0.7699999999999996,0.2599999999999998,0.5099999999999998,0.7699999999999996,0.6529,0.6511549999999999,0.0,0.0,0.0,0.0,0.0,5.0,2016-02-18,7.16,7.15,7.014575,7.15,6.51292,1.0,0.6470800000000001,1.0,846.4037777364837,16.340866210706174,1.544908560724562,861.1997353864652,0.01930623024203193,0.0008456879842318435,1.0,1.0
2016-02-19,6.98,7.17,6.75,6.92,38797443.0,0.0,1.0,6.98,7.17,6.75,6.92,38797443.0,0.41999999999999993,0.019999999999999574,0.40000000000000036,0.41999999999999993,0.6509,0.641255,0.0,0.0,0.0,0.0,0.0,5.0,2016-02-19,7.15,6.92,7.15,6.92,6.498845,1.0,0.6511549999999999,1.0,861.1997353864652,-27.702928550893365,0.0,833.4968068355719,-0.032167832167832255,0.0008604587085743301,1.0,1.0
2016-02-22,7.27,7.97,7.27,7.93,75176131.0,0.0,1.0,7.27,7.97,7.27,7.93,75176131.0,0.7000000000000002,1.0499999999999998,0.34999999999999964,1.0499999999999998,0.6604000000000001,0.6708550000000001,1.0,1.0,0.0,1.0,0.0,5.0,2016-02-22,6.92,7.93,6.92,7.93,6.278745,1.0,0.641255,1.0,833.4968068355719,121.65199059305307,0.0,955.1487974286249,0.14595375722543347,0.0008328026684706775,1.0,1.0
2016-02-23,7.55,7.74,7.15,7.24,58801859.0,0.0,1.0,7.55,7.74,7.15,7.24,58801859.0,0.5899999999999999,0.1899999999999995,0.7799999999999994,0.7799999999999994,0.6899000000000001,0.6663800000000001,0.0,0.0,0.0,0.0,0.0,6.0,2016-02-23,7.93,7.24,7.338218749999999,7.259144999999999,7.259144999999999,1.0,0.6708550000000001,1.0,1109.639653501081,-11.957039104487158,1.544908560724562,1096.1377058358694,-0.010775605456024295,0.001108409718125523,1.0,1.0
2016-02-24,6.74,7.26,6.55,7.2,57050785.0,0.0,1.0,6.74,7.26,6.55,7.2,57050785.0,0.71,0.019999999999999574,0.6900000000000004,0.71,0.6959000000000002,0.6909050000000001,0.0,0.0,0.0,0.0,,,2016-02-24,,,,,,,,,,,,,,,,
2016-02-25,7.14,7.34,6.79,7.12,35161775.0,0.0,1.0,7.14,7.34,6.79,7.12,35161775.0,0.5499999999999998,0.13999999999999968,0.41000000000000014,0.5499999999999998,0.6704000000000001,0.6886050000000001,0.0,0.0,0.0,0.0,,,2016-02-25,,,,,,,,,,,,,,,,
2016-02-26,7.7,7.8,7.31,7.43,48311086.0,0.0,1.0,7.7,7.8,7.31,7.43,48311086.0,0.4900000000000002,0.6799999999999997,0.1899999999999995,0.6799999999999997,0.6709000000000002,0.6708800000000001,0.0,0.0,0.0,0.0,,,2016-02-26,,,,,,,,,,,,,,,,
2016-02-29,7.69,7.84,7.511,7.63,46472525.0,0.0,1.0,7.69,7.84,7.511,7.63,46472525.0,0.32899999999999974,0.41000000000000014,0.0810000000000004,0.41000000000000014,0.6724000000000002,0.6578550000000002,0.0,0.0,0.0,0.0,,,2016-02-29,,,,,,,,,,,,,,,,
2016-03-01,7.84,7.88,7.26,7.76,53860278.0,0.0,1.0,7.84,7.88,7.26,7.76,53860278.0,0.6200000000000001,0.25,0.3700000000000001,0.6200000000000001,0.6791500000000003,0.6697800000000003,0.0,0.0,0.0,0.0,,,2016-03-01,,,,,,,,,,,,,,,,
2016-03-02,7.82,9.02,7.79,8.97,84686704.0,0.0,1.0,7.82,9.02,7.79,8.97,84686704.0,1.2299999999999995,1.2599999999999998,0.03000000000000025,1.2599999999999998,0.7181500000000003,0.7081925000000002,1.0,1.0,0.0,1.0,,,2016-03-02,,,,,,,,,,,,,,,,
2016-03-03,8.66,9.2,8.46,9.11,66639741.0,0.0,1.0,8.66,9.2,8.46,9.11,66639741.0,0.7399999999999984,0.22999999999999865,0.5099999999999998,0.7399999999999984,0.7301500000000002,0.7192425000000002,1.0,1.0,0.0,1.0,4.0,1.0,2016-03-03,8.97,9.11,8.97,9.11,8.2618075,1.0,0.7081925000000002,1.0,141.20454537431556,2.2038613547830628,1.4120454537431557,141.99636127535547,0.015607580824972047,0.00014118460946572212,0.0,1.0
2016-03-04,9.32,10.495,9.17,9.74,104835525.0,0.0,1.0,9.32,10.495,9.17,9.74,104835525.0,1.3249999999999993,1.3849999999999998,0.0600000000000005,1.3849999999999998,0.7404000000000002,0.7628925000000002,1.0,1.0,0.0,1.0,4.0,1.0,2016-03-04,9.11,9.74,9.11,9.74,8.3907575,1.0,0.7192425000000002,1.0,141.99636127535547,9.819726410919202,0.0,151.81608768627467,0.06915477497255762,0.00014197620117140143,0.0,1.0
2016-03-07,9.77,10.2,9.51,9.86,63493576.0,0.0,1.0,9.77,10.2,9.51,9.86,63493576.0,0.6899999999999995,0.4599999999999991,0.23000000000000043,0.6899999999999995,0.7484000000000002,0.7378800000000001,1.0,1.0,0.0,1.0,4.0,3.0,2016-03-07,9.74,9.86,9.678192500000002,9.86,8.9771075,1.0,0.7628925000000002,1.0,434.2251784349058,8.157039047146759,1.4120454537431557,440.97017202830943,0.01878527421313403,0.0004340367087675939,0.0,1.0
2016-03-08,9.37,9.42,8.56,8.66,58328932.0,0.0,1.0,9.37,9.42,8.56,8.66,58328932.0,0.8599999999999994,0.4399999999999995,1.299999999999999,1.299999999999999,0.7754000000000001,0.7759800000000001,0.0,0.0,0.0,0.0,4.0,3.0,2016-03-08,9.86,8.66,9.86,9.122119999999999,9.122119999999999,1.0,0.7378800000000001,1.0,440.97017202830943,-33.0003114134127,1.4120454537431557,406.5578151611536,-0.07483569979716032,0.00044077580304661404,0.0,1.0
2016-03-09,8.91,9.23,8.47,9.15,49063049.0,0.0,1.0,8.91,9.23,8.47,9.15,49063049.0,0.7599999999999998,0.5700000000000003,0.1899999999999995,0.7599999999999998,0.7917500000000001,0.77463,0.0,0.0,0.0,0.0,,,2016-03-09,,,,,,,,,,,,,,,,
2016-03-10,8.86,9.65,8.75,9.6,55701131.0,0.0,1.0,8.86,9.65,8.75,9.6,55701131.0,0.9000000000000004,0.5,0.40000000000000036,0.9000000000000004,0.8192499999999999,0.7971625,0.0,0.0,0.0,0.0,,,2016-03-10,,,,,,,,,,,,,,,,
2016-03-11,9.85,9.88,9.41,9.55,40901729.0,0.0,1.0,9.85,9.88,9.41,9.55,40901729.0,0.47000000000000064,0.28000000000000114,0.1899999999999995,0.47000000000000064,0.8212499999999998,0.8017875,0.0,0.0,0.0,0.0,,,2016-03-11,,,,,,,,,,,,,,,,
2016-03-14,9.47,10.14,9.3733,9.97,39704629.0,0.0,1.0,9.47,10.14,9.3733,9.97,39704629.0,0.7667000000000002,0.5899999999999999,0.1767000000000003,0.7667000000000002,0.8168349999999999,0.8185224999999999,1.0,1.0,0.0,1.0,,,2016-03-14,,,,,,,,,,,,,,,,
2016-03-15,9.45,9.49,9.03,9.27,36348603.0,0.0,1.0,9.45,9.49,9.03,9.27,36348603.0,0.46000000000000085,0.4800000000000004,0.9400000000000013,0.9400000000000013,0.821585,0.82299325,0.0,0.0,0.0,0.0,8.0,1.0,2016-03-15,9.97,9.27,9.97,9.27,9.1514775,1.0,0.8185224999999999,1.0,122.17135142894668,-8.577727783376416,1.2217135142894668,112.3719101312808,-0.07021063189568721,0.00012215642741312388,1.0,1.0
2016-03-16,9.25,10.28,9.22,10.22,49163695.0,0.0,1.0,9.25,10.28,9.22,10.22,49163695.0,1.0599999999999987,1.0099999999999998,0.049999999999998934,1.0599999999999987,0.8130849999999998,0.8335057499999999,1.0,1.0,0.0,1.0,8.0,1.0,2016-03-16,9.27,10.22,9.27,10.22,8.44700675,1.0,0.82299325,1.0,112.3719101312808,11.515999420142053,0.0,123.88790955142285,0.1024811218985977,0.00011235928410390506,1.0,1.0
2016-03-17,10.43,11.07,10.06,10.9,52911909.0,0.0,1.0,10.43,11.07,10.06,10.9,52911909.0,1.0099999999999998,0.8499999999999996,0.16000000000000014,1.0099999999999998,0.8250849999999998,0.8229307499999997,1.0,1.0,0.0,1.0,8.0,1.0,2016-03-17,10.22,10.9,10.22,10.9,9.38649425,1.0,0.8335057499999999,1.0,123.88790955142285,8.243031163891134,0.0,132.13094071531398,0.06653620352250478,0.00012387256323851247,1.0,1.0
2016-03-18,11.04,11.445,10.44,10.76,79242438.0,0.0,1.0,11.04,11.445,10.44,10.76,79242438.0,1.0050000000000008,0.5449999999999999,0.46000000000000085,1.0050000000000008,0.8543349999999996,0.8340807499999998,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-18,10.9,10.76,10.788522500000001,10.76,10.077069250000001,1.0,0.8229307499999997,1.0,376.47364357320737,-0.9953141867959483,1.2217135142894668,374.2566158721219,-0.002643781852427085,0.00037633196450733623,1.0,1.0
2016-03-21,10.65,10.93,10.35,10.8,31275517.0,0.0,1.0,10.65,10.93,10.35,10.8,31275517.0,0.5800000000000001,0.16999999999999993,0.41000000000000014,0.5800000000000001,0.8308349999999995,0.8406182499999997,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-21,10.76,10.8,10.76,10.8,9.92591925,1.0,0.8340807499999998,1.0,374.2566158721219,1.391288534840648,0.0,375.6479044069626,0.0037174721189592312,0.00037411660025936724,1.0,1.0
2016-03-22,10.56,11.2,10.4299,10.99,31068002.0,0.0,1.0,10.56,11.2,10.4299,10.99,31068002.0,0.7700999999999993,0.3999999999999986,0.37010000000000076,0.7700999999999993,0.8303399999999996,0.8277982499999995,1.0,1.0,1.0,1.0,8.0,3.0,2016-03-22,10.8,10.99,10.8,10.99,9.95938175,1.0,0.8406182499999997,1.0,375.6479044069626,6.608620540492865,0.0,382.25652494745543,0.017592592592592604,0.0003755068460471545,1.0,1.0
2016-03-23,10.57,10.72,9.73,9.75,48648352.0,0.0,1.0,10.57,10.72,9.73,9.75,48648352.0,0.9900000000000002,0.2699999999999996,1.2599999999999998,1.2599999999999998,0.8578399999999995,0.8518229999999996,0.0,0.0,0.0,0.0,8.0,3.0,2016-03-23,10.99,9.75,10.99,10.162201750000001,10.162201750000001,1.0,0.8277982499999995,1.0,382.25652494745543,-28.792655359652837,1.2217135142894668,352.2421560735131,-0.07532286169244762,0.00038211046073059046,1.0,1.0
2016-03-24,9.37,10.145,9.1,10.11,52527385.0,0.0,1.0,9.37,10.145,9.1,10.11,52527385.0,1.045,0.3949999999999996,0.6500000000000004,1.045,0.8825899999999995,0.8671979999999995,0.0,0.0,0.0,0.0,,,2016-03-24,,,,,,,,,,,,,,,,
2016-03-28,10.25,10.48,9.73,10.14,35295158.0,0.0,1.0,10.25,10.48,9.73,10.14,35295158.0,0.75,0.370000000000001,0.379999999999999,0.75,0.8860899999999996,0.8759604999999995,0.0,0.0,0.0,0.0,,,2016-03-28,,,,,,,,,,,,,,,,
2016-03-29,9.71,10.3,9.41,10.14,44124762.0,0.0,1.0,9.71,10.3,9.41,10.14,44124762.0,0.8900000000000006,0.16000000000000014,0.7300000000000004,0.8900000000000006,0.9100899999999996,0.8862854999999996,0.0,0.0,0.0,0.0,,,2016-03-29,,,,,,,,,,,,,,,,
