Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
HAL,4.46,1.78,2.68,0.54,0.05,0.09,3.81,2.33,1.47,0.51,0.05,-0.01,135.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BTC-USD,9.52,5.21,4.32,0.54,0.10,0.19,2.79,1.03,1.76,0.35,0.08,0.06,163.00,2014-09-17 00:00:00,2023-11-15 00:00:00
ETH-USD,8.07,3.49,4.59,0.53,0.12,0.22,3.63,3.34,0.29,0.38,0.09,0.05,113.00,2017-11-09 00:00:00,2023-11-15 00:00:00
GEHC,0.26,0.00,0.26,0.48,0.03,0.07,0.08,0.00,0.08,0.35,0.02,0.00,13.00,2022-12-15 00:00:00,2023-11-16 00:00:00
WST,2.85,1.52,1.32,0.46,0.03,0.08,0.47,0.23,0.25,0.27,0.02,0.01,130.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BK,2.07,1.21,0.86,0.45,0.02,0.05,1.35,0.76,0.59,0.40,0.02,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BR,2.00,1.15,0.85,0.45,0.02,0.05,0.12,-0.14,0.25,0.28,0.01,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LUV,2.86,1.81,1.05,0.44,0.04,0.08,1.97,0.51,1.46,0.39,0.03,0.01,132.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ENPH,8.06,5.32,2.73,0.44,0.10,0.22,2.33,2.01,0.33,0.28,0.07,0.03,132.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AAPL,2.69,1.69,1.00,0.43,0.03,0.07,-0.03,0.16,-0.19,0.23,0.02,0.01,142.00,2013-11-18 00:00:00,2023-11-15 00:00:00
SPGI,2.04,1.00,1.04,0.43,0.02,0.06,-0.02,-0.44,0.41,0.27,0.02,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PPL,1.73,0.59,1.14,0.43,0.02,0.04,1.47,0.35,1.12,0.41,0.02,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
URI,3.68,2.61,1.07,0.43,0.04,0.09,0.85,1.28,-0.43,0.29,0.03,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MHK,2.49,1.40,1.09,0.43,0.03,0.07,2.28,1.22,1.06,0.42,0.03,-0.01,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ALGN,4.47,2.16,2.31,0.41,0.05,0.13,2.11,0.13,1.98,0.30,0.04,0.03,132.00,2013-11-18 00:00:00,2023-11-15 00:00:00
COST,2.03,1.06,0.97,0.41,0.02,0.05,0.25,0.14,0.11,0.23,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BLK,2.39,0.93,1.46,0.40,0.03,0.06,1.14,0.36,0.79,0.30,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DOV,1.64,0.81,0.83,0.39,0.02,0.05,0.48,0.08,0.40,0.30,0.01,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TSLA,5.19,1.88,3.30,0.39,0.06,0.15,0.37,0.11,0.26,0.22,0.04,0.03,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KVUE,0.11,0.00,0.11,0.39,0.02,0.05,0.36,0.00,0.36,0.79,0.04,-0.01,6.00,2023-05-04 00:00:00,2023-11-16 00:00:00
BKR,3.07,1.24,1.83,0.38,0.04,0.09,2.71,1.70,1.01,0.36,0.03,0.00,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CHTR,2.51,1.08,1.43,0.38,0.03,0.07,0.92,-0.46,1.38,0.27,0.02,0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TGT,2.55,1.24,1.31,0.38,0.03,0.07,1.38,0.42,0.96,0.30,0.02,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LDOS,2.05,1.25,0.80,0.38,0.02,0.06,0.77,0.28,0.48,0.29,0.02,-0.01,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PWR,2.69,1.15,1.54,0.38,0.03,0.07,0.34,0.59,-0.26,0.23,0.02,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LINK-USD,7.59,3.95,3.64,0.37,0.09,0.25,-1.60,-0.55,-1.05,0.18,0.05,0.03,122.00,2017-11-09 00:00:00,2023-11-15 00:00:00
WAT,1.96,1.03,0.93,0.37,0.02,0.06,0.65,0.05,0.59,0.26,0.02,0.00,133.00,2013-11-18 00:00:00,2023-11-15 00:00:00
ZBRA,2.75,1.47,1.28,0.37,0.03,0.08,0.54,-0.56,1.10,0.26,0.02,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ROL,1.85,1.00,0.85,0.37,0.02,0.06,-0.03,-0.07,0.04,0.20,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ADM,1.84,0.95,0.90,0.37,0.02,0.05,0.89,0.73,0.16,0.30,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
STX,2.93,1.96,0.96,0.37,0.03,0.09,1.62,1.37,0.25,0.30,0.03,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ISRG,2.11,0.96,1.15,0.36,0.02,0.07,-0.34,-0.77,0.44,0.20,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FFIV,2.20,1.22,0.97,0.36,0.02,0.07,1.13,0.51,0.62,0.29,0.02,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MRNA,2.96,0.82,2.14,0.36,0.06,0.17,0.34,0.73,-0.39,0.22,0.04,0.02,73.00,2018-12-07 00:00:00,2023-11-16 00:00:00
KHC,1.43,0.59,0.83,0.36,0.02,0.06,1.79,1.34,0.46,0.39,0.03,0.00,104.00,2015-07-06 00:00:00,2023-11-16 00:00:00
EW,2.42,1.72,0.69,0.36,0.03,0.08,0.08,-0.51,0.59,0.21,0.02,0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ITW,1.63,0.85,0.78,0.36,0.02,0.05,0.24,0.00,0.25,0.24,0.01,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
XYL,2.29,0.95,1.34,0.36,0.02,0.06,0.84,0.01,0.83,0.25,0.02,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BXP,2.11,0.73,1.38,0.35,0.02,0.06,2.24,0.45,1.79,0.36,0.02,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
XRP-USD,7.46,2.77,4.69,0.35,0.10,0.27,2.13,1.14,0.99,0.24,0.07,0.07,117.00,2017-11-09 00:00:00,2023-11-15 00:00:00
ES,1.50,0.62,0.88,0.35,0.01,0.04,0.92,-0.07,0.99,0.30,0.01,-0.01,147.00,2013-11-18 00:00:00,2023-11-15 00:00:00
LKQ,1.76,1.11,0.65,0.35,0.02,0.06,0.90,0.86,0.04,0.30,0.02,-0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MPC,3.32,1.13,2.18,0.35,0.04,0.10,1.13,0.48,0.65,0.24,0.03,0.01,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CMG,3.13,1.78,1.35,0.35,0.03,0.09,1.16,1.04,0.12,0.24,0.02,0.02,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LTC-USD,7.85,5.25,2.60,0.35,0.06,0.18,0.23,-0.02,0.25,0.22,0.04,0.01,179.00,2014-09-17 00:00:00,2023-11-15 00:00:00
PFE,1.60,0.86,0.75,0.35,0.02,0.05,1.32,0.66,0.67,0.32,0.02,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AXON,3.93,2.89,1.04,0.35,0.04,0.12,0.20,0.79,-0.59,0.20,0.03,0.02,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ALLE,1.61,1.15,0.46,0.35,0.02,0.05,0.50,0.14,0.35,0.26,0.01,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HD,1.71,0.95,0.75,0.35,0.02,0.06,0.05,-0.09,0.14,0.20,0.01,0.00,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SWKS,2.55,1.51,1.04,0.35,0.02,0.07,0.52,-0.35,0.88,0.24,0.02,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DXCM,2.79,1.53,1.26,0.35,0.03,0.10,-0.89,-1.06,0.16,0.19,0.02,0.00,135.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WAB,2.29,1.50,0.79,0.35,0.02,0.07,1.27,1.16,0.11,0.28,0.02,0.00,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CMI,1.54,0.92,0.61,0.34,0.02,0.05,0.63,0.52,0.10,0.28,0.01,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EL,1.77,0.87,0.90,0.34,0.02,0.05,0.82,-0.28,1.10,0.28,0.01,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PANW,2.59,1.51,1.09,0.34,0.03,0.09,-0.98,-0.53,-0.45,0.14,0.01,0.00,131.00,2013-11-18 00:00:00,2023-11-15 00:00:00
GM,2.45,0.78,1.67,0.34,0.03,0.08,2.15,0.63,1.52,0.32,0.02,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EFX,1.82,0.64,1.18,0.34,0.02,0.05,0.32,-0.24,0.56,0.23,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AKAM,2.41,1.73,0.67,0.34,0.02,0.07,1.02,0.78,0.23,0.25,0.02,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCO,1.81,0.73,1.08,0.34,0.02,0.06,-0.11,-0.54,0.42,0.20,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
COO,1.73,1.09,0.64,0.34,0.02,0.06,0.41,0.02,0.39,0.23,0.01,0.00,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FMC,2.15,1.36,0.79,0.34,0.02,0.06,1.84,0.77,1.07,0.32,0.02,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BRK-B,1.28,0.43,0.85,0.34,0.01,0.04,-0.03,-0.31,0.28,0.20,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NKE,1.88,1.02,0.86,0.34,0.02,0.06,0.47,-0.05,0.52,0.23,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-15 00:00:00
WTW,1.18,0.54,0.64,0.34,0.01,0.04,0.18,-0.05,0.23,0.25,0.01,-0.01,132.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IR,1.96,0.53,1.43,0.34,0.03,0.09,0.35,-0.17,0.53,0.19,0.02,0.01,91.00,2017-05-12 00:00:00,2023-11-16 00:00:00
NVDA,3.07,1.81,1.26,0.33,0.03,0.10,-2.81,-1.37,-1.44,0.07,0.01,0.01,137.00,2013-11-18 00:00:00,2023-11-15 00:00:00
PODD,3.26,1.77,1.50,0.33,0.03,0.10,0.76,-0.29,1.06,0.21,0.02,0.01,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MSCI,2.28,1.07,1.20,0.33,0.02,0.07,-0.66,-0.83,0.17,0.13,0.01,0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BA,2.88,1.27,1.60,0.33,0.03,0.09,1.70,0.24,1.46,0.27,0.03,0.01,135.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WMT,1.49,0.99,0.51,0.33,0.02,0.05,0.58,0.51,0.06,0.25,0.01,0.00,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CZR,2.90,1.27,1.63,0.33,0.04,0.11,-1.06,-1.67,0.61,0.17,0.02,-0.02,116.00,2014-09-22 00:00:00,2023-11-16 00:00:00
CBRE,2.43,1.61,0.82,0.33,0.02,0.07,0.68,0.44,0.24,0.22,0.01,0.00,155.00,2013-11-18 00:00:00,2023-11-15 00:00:00
ALB,3.43,1.01,2.42,0.33,0.03,0.10,2.00,0.68,1.33,0.26,0.03,0.01,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
J,1.59,1.16,0.44,0.33,0.02,0.05,0.46,0.66,-0.20,0.24,0.01,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LLY,1.93,0.77,1.16,0.33,0.02,0.06,-0.89,-0.28,-0.61,0.11,0.01,0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AZO,1.70,1.07,0.63,0.33,0.02,0.06,-0.37,-0.02,-0.35,0.15,0.01,0.00,131.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PH,2.08,0.86,1.22,0.33,0.02,0.06,0.31,0.18,0.13,0.21,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CAT,1.39,0.79,0.60,0.33,0.02,0.05,-0.16,0.08,-0.24,0.22,0.01,-0.01,130.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DG,2.10,0.93,1.17,0.33,0.02,0.08,1.03,-0.19,1.22,0.24,0.02,0.02,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CPRT,2.11,0.84,1.27,0.33,0.02,0.07,-0.74,-1.02,0.28,0.08,0.01,0.01,130.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DOW,1.30,0.26,1.04,0.33,0.03,0.10,0.94,0.34,0.61,0.29,0.03,0.01,64.00,2019-03-20 00:00:00,2023-11-16 00:00:00
CRL,2.28,1.04,1.23,0.33,0.02,0.07,0.47,-0.23,0.70,0.21,0.02,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FDX,2.08,0.90,1.18,0.32,0.02,0.06,1.00,0.69,0.31,0.25,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WYNN,3.29,1.96,1.33,0.32,0.03,0.09,2.72,1.58,1.13,0.30,0.03,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SYY,1.14,0.68,0.45,0.32,0.01,0.04,-0.07,-0.27,0.21,0.24,0.01,-0.02,129.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CARR,0.93,0.00,0.93,0.32,0.03,0.08,-0.84,0.00,-0.84,0.07,0.00,-0.01,50.00,2020-03-19 00:00:00,2023-11-16 00:00:00
ETR,1.51,0.61,0.90,0.32,0.01,0.05,0.72,-0.04,0.76,0.26,0.01,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EPAM,2.58,0.85,1.73,0.32,0.03,0.09,-0.43,-1.27,0.84,0.18,0.01,-0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HES,2.55,1.54,1.01,0.32,0.03,0.08,1.04,1.40,-0.36,0.25,0.02,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SNPS,1.67,0.96,0.71,0.32,0.02,0.06,-1.40,-0.50,-0.90,0.10,0.01,0.00,134.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ALK,2.87,1.58,1.29,0.32,0.03,0.09,2.13,0.74,1.39,0.28,0.03,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
XOM,1.70,0.85,0.86,0.32,0.02,0.05,1.18,1.19,0.00,0.29,0.02,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCHP,2.15,1.17,0.98,0.32,0.02,0.07,0.13,0.07,0.06,0.21,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TEL,1.78,0.98,0.80,0.32,0.02,0.05,0.49,0.29,0.21,0.22,0.01,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RF,1.82,1.22,0.60,0.32,0.02,0.06,0.65,0.55,0.10,0.25,0.01,-0.02,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GPC,1.51,0.61,0.90,0.32,0.02,0.05,0.64,0.32,0.32,0.25,0.01,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MS,2.35,1.28,1.07,0.32,0.02,0.08,0.88,0.66,0.22,0.22,0.02,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
APA,2.74,1.13,1.60,0.32,0.03,0.10,1.89,1.96,-0.07,0.29,0.03,-0.02,136.00,2013-11-18 00:00:00,2023-11-15 00:00:00
BAC,1.67,0.81,0.86,0.32,0.02,0.06,0.50,-0.16,0.66,0.24,0.01,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCD,1.14,0.67,0.47,0.32,0.01,0.04,-0.13,-0.07,-0.06,0.19,0.01,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EXR,1.55,0.87,0.69,0.32,0.02,0.05,0.03,-0.08,0.12,0.20,0.01,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FICO,2.18,1.38,0.80,0.32,0.02,0.07,-1.29,-0.70,-0.59,0.10,0.01,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FSLR,3.49,2.06,1.43,0.32,0.03,0.11,1.49,1.63,-0.14,0.23,0.03,0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NDAQ,1.43,0.52,0.91,0.31,0.01,0.05,-0.33,-0.60,0.27,0.17,0.01,0.00,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
F,2.36,0.35,2.01,0.31,0.03,0.08,2.18,0.84,1.34,0.30,0.03,0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LH,1.54,0.79,0.75,0.31,0.02,0.05,0.35,0.22,0.13,0.22,0.01,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
RVTY,1.51,0.36,1.15,0.31,0.02,0.05,0.30,-0.71,1.01,0.22,0.01,-0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FCX,4.06,2.52,1.54,0.31,0.04,0.13,2.64,2.72,-0.08,0.26,0.03,0.02,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ETSY,3.91,2.02,1.88,0.31,0.05,0.15,1.53,0.91,0.62,0.21,0.03,0.02,121.00,2015-04-16 00:00:00,2023-11-16 00:00:00
CDW,1.82,1.63,0.20,0.31,0.02,0.06,-0.89,-0.40,-0.49,0.11,0.01,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SEDG,3.65,1.48,2.17,0.31,0.04,0.14,0.52,-0.88,1.39,0.20,0.03,0.01,121.00,2015-03-26 00:00:00,2023-11-16 00:00:00
MTD,1.59,1.17,0.43,0.31,0.02,0.06,-0.21,-0.14,-0.07,0.16,0.01,0.00,131.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GE,2.12,1.34,0.79,0.31,0.02,0.07,1.86,1.96,-0.10,0.29,0.02,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LOW,1.85,0.94,0.91,0.31,0.02,0.06,0.05,-0.01,0.07,0.18,0.01,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SRE,1.03,0.32,0.71,0.30,0.01,0.04,0.14,-0.19,0.33,0.24,0.01,-0.02,133.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AMGN,1.56,1.04,0.53,0.30,0.02,0.05,0.39,0.22,0.17,0.21,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AOS,1.85,1.40,0.45,0.30,0.02,0.06,0.45,0.74,-0.28,0.21,0.01,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FOXA,0.87,0.17,0.70,0.30,0.02,0.06,0.82,0.22,0.60,0.30,0.02,-0.01,65.00,2019-03-12 00:00:00,2023-11-16 00:00:00
RCL,3.38,0.81,2.56,0.30,0.03,0.11,1.18,-0.58,1.75,0.21,0.02,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DGX,1.59,0.73,0.85,0.30,0.02,0.05,0.51,0.13,0.38,0.21,0.01,0.00,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ICE,1.78,0.47,1.32,0.30,0.02,0.06,0.51,-0.43,0.93,0.19,0.01,0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PNR,1.93,0.74,1.19,0.30,0.02,0.06,1.21,0.64,0.57,0.25,0.01,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PTC,2.02,1.45,0.58,0.30,0.02,0.06,-0.06,0.35,-0.41,0.16,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
COP,2.07,0.93,1.14,0.30,0.02,0.07,0.88,0.89,-0.01,0.24,0.02,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CB,1.60,0.52,1.08,0.30,0.02,0.05,0.50,0.04,0.46,0.20,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TRGP,2.93,2.05,0.88,0.30,0.03,0.10,1.22,2.09,-0.87,0.23,0.02,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
