Asset,T Ret,T <=2019,T >=2020,T Sharpe,T Mean,T Std,T-P Ret,T-P <=2019,T-P >=2020,T-P Sharpe,T-P Mean,T-P Std,Trades,Start,End
SBAC,1.13,0.67,0.46,0.18,0.01,0.06,-0.19,-0.42,0.23,0.08,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KEYS,1.15,0.75,0.40,0.18,0.01,0.07,-0.83,-0.76,-0.08,0.03,0.00,0.01,128.00,2014-10-20 00:00:00,2023-11-16 00:00:00
COF,1.42,0.83,0.59,0.18,0.01,0.07,0.39,0.34,0.05,0.12,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ORCL,0.80,0.30,0.50,0.18,0.01,0.04,-0.75,-0.19,-0.55,0.07,0.00,-0.01,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AEP,0.66,0.38,0.28,0.18,0.01,0.04,-0.08,-0.29,0.21,0.11,0.00,-0.01,141.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EA,1.24,0.68,0.56,0.18,0.01,0.06,-0.92,-1.10,0.18,0.03,0.00,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ADP,0.91,0.59,0.32,0.18,0.01,0.05,-0.61,-0.38,-0.23,0.06,0.00,0.00,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LNT,0.82,0.32,0.50,0.18,0.01,0.04,-0.06,-0.40,0.34,0.10,0.00,-0.01,157.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MET,0.97,0.17,0.80,0.18,0.01,0.05,0.17,-0.01,0.18,0.13,0.01,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GL,0.98,0.68,0.30,0.18,0.01,0.05,-0.17,-0.11,-0.06,0.08,0.00,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GRMN,1.15,0.81,0.34,0.18,0.01,0.05,-0.17,-0.05,-0.12,0.09,0.01,0.00,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AME,0.80,0.31,0.49,0.17,0.01,0.04,-0.62,-0.49,-0.14,0.06,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DE,1.03,0.37,0.67,0.17,0.01,0.06,-0.92,-0.51,-0.41,0.04,0.00,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IP,1.13,0.84,0.30,0.17,0.01,0.06,0.89,0.75,0.14,0.16,0.01,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PSA,0.75,0.38,0.38,0.17,0.01,0.05,-0.04,0.10,-0.14,0.10,0.00,0.00,136.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DAL,1.38,0.43,0.95,0.17,0.01,0.08,0.34,-0.54,0.89,0.12,0.01,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MKC,0.95,0.25,0.70,0.17,0.01,0.05,0.06,-0.69,0.74,0.09,0.01,0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EXPE,1.52,0.38,1.14,0.17,0.01,0.08,-0.10,-0.50,0.40,0.09,0.01,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PGR,0.73,0.55,0.18,0.17,0.01,0.05,-1.34,-0.47,-0.88,-0.01,0.00,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VTRS,1.39,0.63,0.75,0.17,0.01,0.08,2.19,1.02,1.16,0.21,0.02,0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CSCO,0.92,0.31,0.61,0.17,0.01,0.05,-0.22,-0.56,0.33,0.08,0.00,0.00,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MU,1.63,1.89,-0.27,0.16,0.02,0.10,-0.77,0.28,-1.06,0.06,0.01,0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LYV,1.35,0.85,0.50,0.16,0.01,0.07,-0.97,-0.76,-0.21,0.05,0.00,0.00,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FRT,1.00,0.44,0.56,0.16,0.01,0.05,0.69,0.28,0.41,0.14,0.01,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MSFT,0.88,0.45,0.42,0.16,0.01,0.05,-1.82,-1.12,-0.69,-0.03,0.00,-0.01,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CEG,0.31,0.00,0.31,0.16,0.02,0.11,-1.00,0.00,-1.00,-0.25,-0.02,0.02,24.00,2022-01-19 00:00:00,2023-11-15 00:00:00
DIS,0.97,0.81,0.16,0.16,0.01,0.05,0.30,-0.04,0.34,0.11,0.01,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ECL,0.87,0.46,0.41,0.16,0.01,0.05,0.01,-0.18,0.19,0.10,0.01,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HON,0.76,0.17,0.59,0.16,0.01,0.04,-0.33,-0.59,0.26,0.07,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NVR,1.09,0.45,0.64,0.16,0.01,0.07,-1.28,-1.11,-0.17,0.00,0.00,0.01,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
INVH,0.46,0.07,0.39,0.16,0.01,0.04,-0.32,-0.29,-0.03,0.08,0.00,-0.02,105.00,2017-02-01 00:00:00,2023-11-16 00:00:00
AES,1.09,0.12,0.97,0.16,0.01,0.07,0.42,-0.27,0.69,0.12,0.01,0.01,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EQR,0.77,0.38,0.39,0.15,0.01,0.05,0.29,-0.13,0.42,0.12,0.00,-0.01,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CDAY,0.86,0.19,0.67,0.15,0.02,0.10,-0.59,-0.80,0.21,0.04,0.01,0.01,76.00,2018-04-26 00:00:00,2023-11-16 00:00:00
CME,0.81,0.93,-0.12,0.15,0.01,0.05,-0.54,-0.05,-0.49,0.05,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CTVA,0.49,0.02,0.47,0.15,0.01,0.06,-0.25,0.03,-0.28,0.06,0.00,-0.01,73.00,2019-05-24 00:00:00,2023-11-16 00:00:00
HRL,0.70,0.35,0.36,0.15,0.01,0.05,0.06,-0.42,0.48,0.10,0.00,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EXPD,0.68,0.38,0.29,0.15,0.01,0.04,-0.60,-0.30,-0.30,0.05,0.00,0.00,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BAX,0.64,0.11,0.54,0.15,0.01,0.04,0.40,-0.75,1.15,0.13,0.01,-0.01,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CPB,0.75,0.65,0.10,0.15,0.01,0.05,0.46,0.42,0.04,0.13,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PPG,0.82,0.41,0.41,0.15,0.01,0.05,0.09,-0.03,0.12,0.09,0.00,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NOC,0.78,0.53,0.25,0.15,0.01,0.05,-0.96,-0.68,-0.28,0.01,0.00,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GOOG,0.89,0.21,0.67,0.15,0.01,0.05,-1.18,-0.90,-0.27,0.01,0.00,0.00,169.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EIX,0.84,0.66,0.19,0.15,0.01,0.05,0.14,0.17,-0.03,0.10,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AMT,0.76,0.50,0.26,0.15,0.01,0.05,-0.49,-0.60,0.11,0.04,0.00,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
JNPR,0.85,0.73,0.12,0.14,0.01,0.05,0.13,0.38,-0.25,0.10,0.01,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
D,0.59,0.09,0.50,0.14,0.01,0.04,0.63,-0.12,0.74,0.15,0.01,-0.01,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WBD,1.05,0.11,0.94,0.14,0.01,0.07,1.61,0.12,1.50,0.17,0.01,-0.02,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
OMC,0.70,0.36,0.34,0.14,0.01,0.05,0.21,0.20,0.01,0.11,0.00,-0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
IPG,0.99,0.03,0.96,0.14,0.01,0.06,-0.10,-0.35,0.25,0.08,0.00,0.00,159.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UNH,0.69,0.53,0.16,0.14,0.01,0.05,-1.66,-0.97,-0.69,-0.04,0.00,-0.01,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PG,0.52,0.54,-0.02,0.14,0.01,0.04,-0.27,0.14,-0.42,0.06,0.00,0.00,138.00,2013-11-18 00:00:00,2023-11-16 00:00:00
APD,0.65,0.39,0.27,0.14,0.01,0.04,-0.66,-0.50,-0.16,0.03,0.00,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ZTS,0.66,0.70,-0.04,0.14,0.01,0.05,-1.37,-0.85,-0.52,-0.01,0.00,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CLX,0.67,0.69,-0.03,0.14,0.01,0.05,-0.02,0.18,-0.20,0.08,0.00,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VFC,0.89,0.43,0.46,0.14,0.01,0.06,1.38,-0.26,1.64,0.16,0.01,-0.01,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CBOE,0.78,0.54,0.23,0.14,0.01,0.06,-0.76,-0.43,-0.33,0.01,0.00,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
COR,0.71,0.76,-0.04,0.14,0.01,0.05,-0.67,0.42,-1.09,0.03,0.00,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FOX,0.43,0.07,0.35,0.14,0.01,0.06,0.48,0.17,0.32,0.14,0.01,0.00,68.00,2019-03-13 00:00:00,2023-11-16 00:00:00
AMAT,1.13,0.65,0.48,0.14,0.01,0.07,-1.83,-0.88,-0.95,-0.01,0.00,0.00,159.00,2013-11-18 00:00:00,2023-11-15 00:00:00
UHS,0.79,0.35,0.44,0.14,0.01,0.06,-0.29,-0.43,0.13,0.07,0.00,-0.01,140.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NDSN,0.70,0.48,0.22,0.13,0.01,0.06,-0.86,-0.48,-0.39,0.02,0.00,0.00,137.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TFC,0.95,0.50,0.45,0.13,0.01,0.06,0.44,-0.01,0.46,0.10,0.01,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
T,0.53,0.33,0.20,0.13,0.01,0.04,0.59,0.24,0.35,0.14,0.01,-0.01,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
REGN,0.90,0.84,0.06,0.13,0.01,0.06,-0.69,0.21,-0.89,0.04,0.00,0.00,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TJX,0.73,0.33,0.41,0.13,0.01,0.05,-0.64,-0.41,-0.24,0.03,0.00,-0.01,162.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NOW,1.29,0.85,0.44,0.13,0.01,0.09,-2.03,-1.24,-0.79,-0.03,0.00,0.02,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SNA,0.73,0.39,0.35,0.13,0.01,0.05,-0.58,-0.13,-0.44,0.03,0.00,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AMCR,0.89,1.00,-0.11,0.13,0.00,0.03,0.64,0.95,-0.31,0.12,0.00,-0.01,305.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HUBB,0.77,0.69,0.08,0.13,0.01,0.05,-0.57,0.30,-0.88,0.03,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PXD,1.36,0.42,0.93,0.13,0.01,0.09,0.27,0.49,-0.23,0.08,0.01,0.01,158.00,2013-11-18 00:00:00,2023-11-16 00:00:00
K,0.52,0.64,-0.12,0.13,0.01,0.04,0.36,0.52,-0.15,0.11,0.00,-0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CL,0.51,0.37,0.14,0.13,0.00,0.03,0.16,0.31,-0.15,0.09,0.00,-0.01,163.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PNC,0.81,0.77,0.04,0.13,0.01,0.06,-0.19,0.00,-0.19,0.06,0.00,0.00,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
KEY,1.15,0.67,0.49,0.12,0.01,0.08,0.40,0.14,0.26,0.09,0.01,0.00,157.00,2013-11-18 00:00:00,2023-11-15 00:00:00
CCI,0.68,0.37,0.31,0.12,0.01,0.05,0.01,-0.27,0.29,0.07,0.00,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EQIX,0.61,0.45,0.17,0.12,0.01,0.05,-1.31,-0.91,-0.40,-0.02,0.00,-0.01,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CCL,1.66,0.50,1.16,0.12,0.01,0.12,1.06,-0.04,1.10,0.10,0.01,0.02,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SYK,0.55,0.24,0.31,0.12,0.00,0.04,-1.15,-0.88,-0.28,-0.01,0.00,-0.01,155.00,2013-11-18 00:00:00,2023-11-16 00:00:00
BIIB,0.91,0.20,0.71,0.12,0.01,0.06,0.08,-0.42,0.51,0.08,0.00,-0.02,157.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ULTA,0.93,0.40,0.53,0.12,0.01,0.07,-0.91,-0.61,-0.30,0.02,0.00,0.00,145.00,2013-11-18 00:00:00,2023-11-16 00:00:00
A,0.62,0.28,0.34,0.12,0.01,0.05,-0.79,-0.64,-0.15,0.01,0.00,0.00,152.00,2013-11-18 00:00:00,2023-11-15 00:00:00
CTRA,0.94,0.65,0.29,0.12,0.01,0.07,0.45,1.14,-0.69,0.09,0.01,0.00,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LRCX,0.81,0.87,-0.06,0.12,0.01,0.07,-2.59,-1.11,-1.48,-0.05,0.00,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CHRW,0.61,0.35,0.26,0.12,0.01,0.05,-0.05,0.00,-0.05,0.07,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
EG,0.56,0.38,0.18,0.11,0.00,0.04,-0.70,-0.21,-0.49,0.02,0.00,-0.01,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VMC,0.74,0.73,0.01,0.11,0.01,0.06,-1.04,-0.38,-0.67,0.00,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AIZ,0.68,0.40,0.28,0.11,0.01,0.06,-0.62,-0.41,-0.21,0.02,0.00,0.00,151.00,2013-11-18 00:00:00,2023-11-16 00:00:00
AEE,0.55,0.23,0.32,0.11,0.01,0.05,-0.48,-0.53,0.05,0.03,0.00,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MDLZ,0.45,0.28,0.17,0.11,0.00,0.04,-0.53,-0.26,-0.27,0.03,0.00,-0.01,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
REG,0.64,0.44,0.20,0.11,0.01,0.06,-0.08,0.19,-0.27,0.07,0.00,-0.01,144.00,2013-11-18 00:00:00,2023-11-16 00:00:00
DHI,0.72,0.62,0.10,0.11,0.01,0.06,-1.77,-0.58,-1.19,-0.04,0.00,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
TXT,0.91,0.34,0.57,0.11,0.01,0.08,-0.56,-0.23,-0.33,0.02,0.00,0.01,142.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ARE,0.47,0.05,0.42,0.11,0.00,0.05,-0.35,-0.89,0.54,0.04,0.00,-0.01,139.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ESS,0.53,0.18,0.35,0.11,0.00,0.04,-0.12,-0.46,0.34,0.06,0.00,-0.01,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VICI,0.37,0.17,0.19,0.11,0.01,0.05,-0.37,0.04,-0.41,0.04,0.00,-0.02,92.00,2018-01-02 00:00:00,2023-11-16 00:00:00
KO,0.32,0.28,0.04,0.11,0.00,0.03,-0.24,-0.03,-0.21,0.05,0.00,-0.01,143.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CSGP,0.76,0.75,0.01,0.11,0.01,0.06,-1.28,-0.70,-0.58,-0.02,0.00,0.00,151.00,2013-11-18 00:00:00,2023-11-15 00:00:00
L,0.51,0.37,0.14,0.10,0.00,0.04,-0.15,0.21,-0.36,0.06,0.00,0.00,159.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LHX,0.60,0.45,0.15,0.10,0.01,0.06,-0.80,-0.75,-0.04,-0.01,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
WRB,0.45,0.38,0.07,0.10,0.00,0.04,-1.11,-0.51,-0.60,-0.02,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
NI,0.44,0.35,0.09,0.10,0.00,0.04,-0.60,-0.45,-0.15,0.02,0.00,-0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
PHM,0.83,0.73,0.10,0.09,0.01,0.08,-1.38,-0.21,-1.17,-0.03,0.00,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
LIN,0.43,0.03,0.40,0.09,0.00,0.04,-1.00,-0.55,-0.45,-0.02,0.00,-0.01,164.00,2013-11-18 00:00:00,2023-11-15 00:00:00
GILD,0.47,0.00,0.47,0.09,0.00,0.05,0.02,-0.02,0.04,0.06,0.00,0.00,147.00,2013-11-18 00:00:00,2023-11-16 00:00:00
ATO,0.42,0.21,0.21,0.09,0.00,0.04,-0.73,-0.68,-0.05,0.00,0.00,0.00,157.00,2013-11-18 00:00:00,2023-11-16 00:00:00
CF,0.87,0.31,0.56,0.09,0.01,0.08,-0.59,-0.12,-0.47,0.02,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GNRC,0.88,0.17,0.72,0.09,0.01,0.09,-0.87,-0.82,-0.05,0.01,0.00,0.01,148.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FI,0.44,0.12,0.32,0.09,0.00,0.04,-1.40,-1.43,0.03,-0.05,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MCK,0.49,0.62,-0.13,0.09,0.00,0.05,-0.93,0.58,-1.51,-0.01,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HLT,0.53,0.52,0.01,0.08,0.00,0.05,-1.23,-0.56,-0.67,-0.04,0.00,0.00,158.00,2013-12-12 00:00:00,2023-11-15 00:00:00
LVS,0.60,0.54,0.06,0.08,0.01,0.07,0.19,0.28,-0.09,0.06,0.00,-0.01,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MTB,0.48,0.61,-0.14,0.08,0.00,0.05,-0.15,0.17,-0.32,0.04,0.00,-0.01,156.00,2013-11-18 00:00:00,2023-11-16 00:00:00
UDR,0.31,0.03,0.28,0.07,0.00,0.04,-0.38,-0.65,0.27,0.02,0.00,-0.01,152.00,2013-11-18 00:00:00,2023-11-16 00:00:00
USB,0.33,0.25,0.07,0.06,0.00,0.05,-0.10,-0.16,0.06,0.03,0.00,-0.01,163.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MRK,0.23,0.23,0.00,0.05,0.00,0.04,-0.84,-0.45,-0.39,-0.03,0.00,0.00,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
MDT,0.21,0.28,-0.07,0.05,0.00,0.04,-0.31,-0.41,0.10,0.01,0.00,0.00,154.00,2013-11-18 00:00:00,2023-11-15 00:00:00
HIG,0.16,-0.15,0.30,0.03,0.00,0.04,-1.05,-0.73,-0.32,-0.04,0.00,-0.02,153.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FIS,0.13,0.11,0.02,0.03,0.00,0.04,-0.36,-0.95,0.59,0.00,0.00,-0.02,150.00,2013-11-18 00:00:00,2023-11-16 00:00:00
SJM,0.17,0.65,-0.48,0.03,0.00,0.05,-0.13,0.65,-0.78,0.01,0.00,0.00,149.00,2013-11-18 00:00:00,2023-11-16 00:00:00
GIS,0.07,0.22,-0.15,0.01,0.00,0.04,-0.43,0.14,-0.58,-0.03,0.00,0.00,146.00,2013-11-18 00:00:00,2023-11-16 00:00:00
OTIS,0.02,0.00,0.02,0.01,0.00,0.04,-0.87,0.00,-0.87,-0.16,-0.01,-0.01,52.00,2020-03-19 00:00:00,2023-11-16 00:00:00
TMUS,0.01,0.06,-0.06,0.00,0.00,0.04,-2.10,-1.24,-0.86,-0.14,-0.01,-0.01,161.00,2013-11-18 00:00:00,2023-11-16 00:00:00
FE,-0.12,0.03,-0.15,-0.02,0.00,0.04,-0.58,-0.32,-0.26,-0.06,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
HST,-0.20,0.50,-0.70,-0.03,0.00,0.06,-0.71,0.38,-1.09,-0.05,0.00,-0.01,160.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VRTX,-0.26,0.27,-0.53,-0.04,0.00,0.06,-2.65,-1.45,-1.20,-0.15,-0.01,-0.01,154.00,2013-11-18 00:00:00,2023-11-16 00:00:00
VLTO,-0.11,0.00,-0.11,-1.53,-0.05,0.04,-0.04,0.00,-0.04,-1.34,-0.04,-0.02,2.00,2023-10-04 00:00:00,2023-11-16 00:00:00
PEP,0.00,0.00,0.00,,,,0.00,0.00,0.00,,,,0.00,2023-11-16 00:00:00,2023-11-16 00:00:00
